ComputerName,Description
"EXEMPLO8479","CENTRAL"
"EXEMPLO8523","CENTRAL"
"EXEMPLO8465","COCAD"
"EXEMPLO8480","COCAD"
"EXEMPLO8504","COCAD"
"EXEMPLO8508","COCAD"
"EXEMPLO8514","COCAD"
"EXEMPLO8471","CONIN"
"EXEMPLO8488","CONIN"
"EXEMPLO8496","GEAUD"
"EXEMPLO8532","GEAUD"
"EXEMPLO8485","GEINF"
"EXEMPLO8506","GEINF"
"EXEMPLO8512","GEINF"
"EXEMPLO8477","GEJUR"
"EXEMPLO8491","GEJUR"
"EXEMPLO8502","GEJUR"
"EXEMPLO8503","GEJUR"
"EXEMPLO8539","GEJUR"
"EXEMPLO8476","GEREL"
"EXEMPLO8478","GEREL"
"EXEMPLO8481","GEREL"
"EXEMPLO8486","GEREL"
"EXEMPLO8509","GEREL"
"EXEMPLO8515","GEREL"
"EXEMPLO8517","GEREL"
"EXEMPLO8521","GEREL"
"EXEMPLO8467","GERTI"
"EXEMPLO8468","GERTI"
"EXEMPLO8469","GERTI"
"EXEMPLO8475","GERTI"
"EXEMPLO8482","GERTI"
"EXEMPLO8492","GERTI"
"EXEMPLO8495","GERTI"
"EXEMPLO8520","GERTI"
"EXEMPLO8538","GERTI"
"EXEMPLO8472","GPLAC"
"EXEMPLO8474","GPLAC"
"EXEMPLO8484","GPLAC"
"EXEMPLO8499","GPLAC"
"EXEMPLO8505","GPLAC"
"EXEMPLO8516","GPLAC"
"EXEMPLO8524","GPLAC"
"EXEMPLO8529","GPLAC"
"EXEMPLO8531","GPLAC"
"EXEMPLO8535","GPLAC"
"EXEMPLO8536","GPLAC"
"EXEMPLO8470","GPREV"
"EXEMPLO8473","GPREV"
"EXEMPLO8483","GPREV"
"EXEMPLO8490","GPREV"
"EXEMPLO8498","GPREV"
"EXEMPLO8510","GPREV"
"EXEMPLO8511","GPREV"
"EXEMPLO8526","GPREV"
"EXEMPLO8534","GPREV"
"EXEMPLO8466","GSAUD"
"EXEMPLO8493","GSAUD"
"EXEMPLO8494","GSAUD"
"EXEMPLO8497","GSAUD"
"EXEMPLO8500","GSAUD"
"EXEMPLO8501","GSAUD"
"EXEMPLO8518","GSAUD"
"EXEMPLO8519","GSAUD"
"EXEMPLO8525","GSAUD"
"EXEMPLO8527","GSAUD"
"EXEMPLO8487","PRESI"
"EXEMPLO8522","PRESI"
